FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
21220911394,Отходы сепарации природного газа при добыче природного газа и газового конденсата,0,0,0,0,0,0
21221111313,"Сорбент на основе жидких углеводородов, метанола, формальдегида и третичных аминов, отработанный при очистке природного газа и газового конденсата от сераорганических соединений",1,1,1,1,1,0
21280000000,Отходы очистки вод перед закачкой их в пласт при добыче сырой нефти и природного газа,0,0,0,0,0,0
21280111393,Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов 15% и более),0,0,0,0,0,0
21280112394,Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов менее 15%),0,0,0,0,0,0
21281111394,Отходы механической очистки сеноманской воды перед закачкой ее в пласт при добыче сырой нефти и природного газа,0,0,0,0,0,0
22000000000,Отходы добычи металлических руд,0,0,0,0,0,0
22100000000,Отходы добычи и обогащения железных руд,0,0,0,0,0,0
22110000000,Отходы добычи железных руд подземным способом,0,0,0,0,0,0
22111111205,Вмещающая (пустая) порода при добыче железных руд подземным способом,0,0,0,0,0,0
22120000000,Отходы добычи железных руд открытым способом,0,0,0,0,0,0
22130000000,Отходы обогащения и агломерации железных руд,0,0,0,0,0,0
22131000000,Отходы (хвосты) обогащения железных руд,0,0,0,0,0,0
22131001395,Отходы (хвосты) мокрой магнитной сепарации железных руд,0,0,0,0,0,0
22131002395,Отходы (хвосты) сухой магнитной сепарации железных руд,0,0,0,0,0,0
22131211204,Отходы (хвосты) обогащения обожженного сидерита методом сухой магнитной сепарации,0,0,0,0,0,0
22132000000,Отходы агломерации железных руд,0,0,0,0,0,0
22132102404,Отходы (осадок) мокрой очистки газов агломерационного производства от соединений серы известковым молоком,0,0,0,0,0,0
22132203204,Осадок отстоя воды гидроуборки оборудования агломерации железных руд,0,0,0,0,0,0
22163111604,"Ткань фильтровальная из синтетических волокон, отработанная при фильтрации и обезвоживании железорудного концентрата",0,0,0,0,0,0
22171121424,Пыль газоочистки при агломерации железных руд,0,0,0,0,0,0
22171131394,Осадок мокрой газоочистки при обогащении железных руд,0,0,0,0,0,0
22172111335,Отходы мокрой газоочистки при обогащении титаномагнетитовых железных руд,0,0,0,0,0,0
22181111395,Отходы (осадок) механической очистки шахтно-рудничных вод при добыче железных руд,0,0,0,0,0,0
22182111395,Отходы (осадок) механической очистки сточных вод дробления и обогащения железных руд,0,0,0,0,0,0
22200000000,Отходы добычи и обогащения руд цветных металлов,0,0,0,0,0,0
22210000000,Отходы добычи и обогащения медных руд,0,0,0,0,0,0
22211111205,Вмещающая (пустая) порода при добыче медноколчеданных руд,0,0,0,0,0,0
22211121205,Вскрышная порода слабоминерализованная при добыче медноколчеданных руд открытым способом,0,0,0,0,0,0
22212000000,Отходы обогащения медных руд,0,0,0,0,0,0
22212001395,Отходы (хвосты) обогащения медных руд практически неопасные,0,0,0,0,0,0
22212051395,Отходы (хвосты) обогащения медно-цинковых и медно-колчеданных руд,0,0,0,0,0,0
22212311395,Отходы (хвосты) флотации молибденово-медных руд,0,0,0,0,0,0
22212911204,Отходы обогащения медных руд и шлака медеплавильного производства в смеси,0,0,0,0,0,0
22216123614,"Ткань фильтровальная на основе полиэфирного волокна, отработанная при флотационном обогащении медно-порфировых руд",0,0,0,0,0,0
22217111424,Пыль газоочистки с преимущественным содержанием диоксида кремния при обогащении медно-цинковых руд,0,0,0,0,0,0
